Model,Embedding,Experiment,Accuracy,F1,Recall,Precision
RandomForest,SentEmbeddings,E2,0.47,0.35,0.47,0.41
AdaBoost,SentEmbeddings,E2,0.58,0.57,0.58,0.57
NaiveBayes,BoW,E2,0.5,0.47,0.5,0.49
LogReg,BoW,E2,0.59,0.59,0.59,0.59
SVM,BoW,E2,0.59,0.57,0.59,0.59
XGBoost,BoW,E2,0.53,0.52,0.53,0.53
RandomForest,BoW,E2,0.43,0.26,0.43,0.18
AdaBoost,BoW,E2,0.48,0.47,0.48,0.48
NaiveBayes,Fasttext,E2,0.5,0.52,0.5,0.59
LogReg,Fasttext,E2,0.69,0.69,0.69,0.7
SVM,Fasttext,E2,0.7,0.69,0.7,0.71
XGBoost,Fasttext,E2,0.67,0.67,0.67,0.67
RandomForest,Fasttext,E2,0.62,0.52,0.62,0.48
AdaBoost,Fasttext,E2,0.63,0.62,0.63,0.61
NaiveBayes,Word2Vec,E2,0.4,0.4,0.4,0.52
LogReg,Word2Vec,E2,0.66,0.63,0.66,0.68
SVM,Word2Vec,E2,0.63,0.55,0.63,0.64
XGBoost,Word2Vec,E2,0.67,0.66,0.67,0.66
RandomForest,Word2Vec,E2,0.62,0.52,0.62,0.48
AdaBoost,Word2Vec,E2,0.64,0.62,0.64,0.62
NaiveBayes,GloVe,E3,0.51,0.52,0.51,0.58
LogReg,GloVe,E3,0.69,0.68,0.69,0.69
SVM,GloVe,E3,0.71,0.69,0.71,0.71
XGBoost,GloVe,E3,0.67,0.67,0.67,0.67
RandomForest,GloVe,E3,0.59,0.5,0.59,0.48
AdaBoost,GloVe,E3,0.64,0.63,0.64,0.63
NaiveBayes,Tf-idf,E3,0.47,0.36,0.47,0.49
LogReg,Tf-idf,E3,0.59,0.57,0.59,0.59
SVM,Tf-idf,E3,0.57,0.55,0.57,0.59
XGBoost,Tf-idf,E3,0.55,0.54,0.55,0.55
RandomForest,Tf-idf,E3,0.41,0.24,0.41,0.17
AdaBoost,Tf-idf,E3,0.51,0.49,0.51,0.5
NaiveBayes,SentEmbeddings,E3,0.52,0.53,0.52,0.56
LogReg,SentEmbeddings,E3,0.67,0.65,0.67,0.69
SVM,SentEmbeddings,E3,0.72,0.71,0.72,0.73
XGBoost,SentEmbeddings,E3,0.68,0.67,0.68,0.67
RandomForest,SentEmbeddings,E3,0.48,0.38,0.48,0.4
AdaBoost,SentEmbeddings,E3,0.6,0.6,0.6,0.6
NaiveBayes,BoW,E3,0.51,0.49,0.51,0.51
LogReg,BoW,E3,0.62,0.61,0.62,0.61
SVM,BoW,E3,0.6,0.59,0.6,0.61
XGBoost,BoW,E3,0.56,0.55,0.56,0.56
RandomForest,BoW,E3,0.41,0.24,0.41,0.17
AdaBoost,BoW,E3,0.49,0.48,0.49,0.49
NaiveBayes,Fasttext,E3,0.52,0.54,0.52,0.59
LogReg,Fasttext,E3,0.71,0.7,0.71,0.72
SVM,Fasttext,E3,0.72,0.71,0.72,0.73
XGBoost,Fasttext,E3,0.69,0.69,0.69,0.69
RandomForest,Fasttext,E3,0.62,0.52,0.62,0.48
AdaBoost,Fasttext,E3,0.64,0.63,0.64,0.63
NaiveBayes,Word2Vec,E3,0.42,0.42,0.42,0.5
LogReg,Word2Vec,E3,0.67,0.64,0.67,0.69
SVM,Word2Vec,E3,0.65,0.6,0.65,0.67
XGBoost,Word2Vec,E3,0.69,0.68,0.69,0.68
RandomForest,Word2Vec,E3,0.62,0.52,0.62,0.48
